__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-16 12:17:27,834 INFO  [it.uni.reti2.main] (main) 🚂 Avvio processo Treno con ID: tr-1785881169606
2026-08-16 12:17:28,506 INFO  [io.quarkus.scheduler.runtime.SimpleScheduler] (main) No scheduled business methods found - Simple scheduler will not be started
2026-08-16 12:17:28,553 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[treno-tr-1785881169606-alerts-in]
2026-08-16 12:17:28,625 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[]
2026-08-16 12:17:28,752 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[treno-tr-1785881169606-alerts-out]
2026-08-16 12:17:28,819 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 12:17:28,941 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 12:17:28,975 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 12:17:28,983 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/alerts, Max QoS 1.
2026-08-16 12:17:29,011 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/train/+/validation-response, Max QoS 0.
2026-08-16 12:17:29,111 INFO  [it.uni.reti2.TrainJourneyEngine] (main) 🧭 [TWIN] Motore di viaggio avviato (sosta=2s, fattore=100x, autostart=true)
2026-08-16 12:17:29,190 INFO  [io.quarkus] (main) treno 1.0.0-SNAPSHOT on JVM (powered by Quarkus 3.37.3) started in 1.462s. Listening on: http://0.0.0.0:9084
2026-08-16 12:17:29,191 INFO  [io.quarkus] (main) Profile prod activated. 
2026-08-16 12:17:29,191 INFO  [io.quarkus] (main) Installed features: [cdi, messaging, messaging-mqtt, rest, rest-jackson, scheduler, smallrye-context-propagation, vertx]
2026-08-16 12:17:29,460 INFO  [it.uni.reti2.main] (main) 🔎 Verifica ID treno 'tr-1785881169606' nel database centrale...
2026-08-16 12:17:29,490 INFO  [it.uni.reti2.TrainDatabaseValidator] (main) 📩 Richiesta di validazione inviata per il treno: tr-1785881169606
2026-08-16 12:17:29,490 WARN  [it.uni.reti2.main] (main) ID treno non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-16 12:17:29,497 ERROR [it.uni.reti2.TrainDatabaseValidator] (vert.x-eventloop-thread-2) ❌ L'ID 'tr-1785881169606' non è presente nel database centrale: il treno non è registrato.
2026-08-16 12:17:34,491 ERROR [it.uni.reti2.main] (main) ❌ ERRORE FATALE: ID del treno non presente nel database centrale. Il processo verrà terminato.
2026-08-16 12:17:34,511 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 12:17:34,511 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 12:17:34,512 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 12:17:34,514 INFO  [io.quarkus] (main) treno stopped in 0.023s
