__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-16 12:17:27,824 INFO  [it.uni.reti2.main] (main) 🚂 Avvio processo Treno con ID: tr-1785881107516
2026-08-16 12:17:28,476 INFO  [io.quarkus.scheduler.runtime.SimpleScheduler] (main) No scheduled business methods found - Simple scheduler will not be started
2026-08-16 12:17:28,512 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[treno-tr-1785881107516-alerts-in]
2026-08-16 12:17:28,549 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[]
2026-08-16 12:17:28,652 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[treno-tr-1785881107516-alerts-out]
2026-08-16 12:17:28,717 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 12:17:28,872 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 12:17:28,906 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 12:17:28,917 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/alerts, Max QoS 1.
2026-08-16 12:17:28,942 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/train/+/validation-response, Max QoS 0.
2026-08-16 12:17:29,049 INFO  [it.uni.reti2.TrainJourneyEngine] (main) 🧭 [TWIN] Motore di viaggio avviato (sosta=2s, fattore=100x, autostart=true)
2026-08-16 12:17:29,118 INFO  [io.quarkus] (main) treno 1.0.0-SNAPSHOT on JVM (powered by Quarkus 3.37.3) started in 1.393s. Listening on: http://0.0.0.0:9082
2026-08-16 12:17:29,119 INFO  [io.quarkus] (main) Profile prod activated. 
2026-08-16 12:17:29,120 INFO  [io.quarkus] (main) Installed features: [cdi, messaging, messaging-mqtt, rest, rest-jackson, scheduler, smallrye-context-propagation, vertx]
2026-08-16 12:17:29,425 INFO  [it.uni.reti2.main] (main) 🔎 Verifica ID treno 'tr-1785881107516' nel database centrale...
2026-08-16 12:17:29,456 INFO  [it.uni.reti2.TrainDatabaseValidator] (main) 📩 Richiesta di validazione inviata per il treno: tr-1785881107516
2026-08-16 12:17:29,457 WARN  [it.uni.reti2.main] (main) ID treno non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-16 12:17:29,468 ERROR [it.uni.reti2.TrainDatabaseValidator] (vert.x-eventloop-thread-2) ❌ L'ID 'tr-1785881107516' non è presente nel database centrale: il treno non è registrato.
2026-08-16 12:17:34,458 ERROR [it.uni.reti2.main] (main) ❌ ERRORE FATALE: ID del treno non presente nel database centrale. Il processo verrà terminato.
2026-08-16 12:17:34,475 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 12:17:34,476 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 12:17:34,476 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 12:17:34,478 INFO  [io.quarkus] (main) treno stopped in 0.020s
